"module name","license","repository"
"@babel/plugin-transform-parameters@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters@7.9.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-parameters"
"@babel/plugin-transform-property-literals@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-property-literals"
"@babel/plugin-transform-react-constant-elements@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-constant-elements"
"@babel/plugin-transform-react-display-name@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-display-name"
"@babel/plugin-transform-react-jsx-development@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-development"
"@babel/plugin-transform-react-jsx-self@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-self"
"@babel/plugin-transform-react-jsx-source@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-source"
"@babel/plugin-transform-react-jsx@7.9.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx"
"@babel/plugin-transform-regenerator@7.10.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator@7.8.7","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator"
"@babel/plugin-transform-reserved-words@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-reserved-words"
"@babel/plugin-transform-runtime@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-runtime"
"@babel/plugin-transform-shorthand-properties@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-shorthand-properties"
"@babel/plugin-transform-spread@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-spread"
"@babel/plugin-transform-sticky-regex@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-sticky-regex"
"@babel/plugin-transform-template-literals@7.10.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-template-literals"
"@babel/plugin-transform-typeof-symbol@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-typeof-symbol"
"@babel/plugin-transform-typescript@7.9.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-typescript"
"@babel/plugin-transform-unicode-escapes@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-unicode-regex"
"@babel/preset-env@7.10.3","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-env"
"@babel/preset-env@7.9.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-env"
"@babel/preset-modules@0.1.3","MIT",""
"@babel/preset-react@7.9.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-react"
"@babel/preset-react@7.9.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-react"
"@babel/preset-typescript@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-typescript"
"@babel/runtime-corejs3@7.9.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime-corejs3"
"@babel/runtime@7.10.4","MIT","https://github.com/babel/babel"
"@babel/runtime@7.8.4","MIT","https://github.com/babel/babel"
"@babel/runtime@7.9.0","MIT","https://github.com/babel/babel"
"@babel/runtime@7.9.2","MIT","https://github.com/babel/babel"
"@babel/template@7.10.3","MIT","https://github.com/babel/babel"
"@babel/template@7.10.4","MIT","https://github.com/babel/babel"
"@babel/template@7.8.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"@babel/traverse@7.10.3","MIT","https://github.com/babel/babel"
"@babel/traverse@7.10.4","MIT","https://github.com/babel/babel"
"@babel/traverse@7.9.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"@babel/types@7.10.3","MIT","https://github.com/babel/babel"
"@babel/types@7.10.4","MIT","https://github.com/babel/babel"
"@babel/types@7.9.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"@cnakazawa/watch@1.0.4","Apache-2.0","https://github.com/mikeal/watch"
"@csstools/convert-colors@1.4.0","CC0-1.0","https://github.com/jonathantneal/convert-colors"
"@csstools/normalize.css@10.1.0","CC0-1.0","https://github.com/csstools/normalize.css"
"@cypress/listr-verbose-renderer@0.4.1","MIT","https://github.com/SamVerschueren/listr-verbose-renderer"
"@cypress/request@2.88.5","Apache-2.0","https://github.com/cypress-io/request"
"@cypress/xvfb@1.2.4","MIT","https://github.com/cypress-io/xvfb"
"@emotion/cache@10.0.29","MIT","https://github.com/emotion-js/emotion/tree/master/packages/cache"
"@emotion/core@10.0.28","MIT","https://github.com/emotion-js/emotion/tree/master/packages/core"
"@emotion/css@10.0.27","MIT","https://github.com/emotion-js/emotion/tree/master/packages/css"
"@emotion/hash@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/hash"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/serialize@0.11.16","MIT","https://github.com/emotion-js/emotion/tree/master/packages/serialize"
"@emotion/sheet@0.9.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/sheet"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@emotion/utils@0.11.3","MIT","https://github.com/emotion-js/emotion/tree/master/packages/serialize"
"@emotion/weak-memoize@0.2.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/weak-memoize"
"@hapi/address@2.1.4","BSD-3-Clause","https://github.com/hapijs/address"
"@hapi/address@4.0.1","BSD-3-Clause","https://github.com/hapijs/address"
"@hapi/bourne@1.3.2","BSD-3-Clause","https://github.com/hapijs/bourne"
"@hapi/formula@2.0.0","BSD-3-Clause","https://github.com/hapijs/formula"
"@hapi/hoek@8.5.1","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/hoek@9.0.4","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/joi@15.1.1","BSD-3-Clause","https://github.com/hapijs/joi"
"@hapi/joi@17.1.1","BSD-3-Clause","https://github.com/hapijs/joi"
"@hapi/pinpoint@2.0.0","BSD-3-Clause","https://github.com/hapijs/pinpoint"
"@hapi/topo@3.1.6","BSD-3-Clause","https://github.com/hapijs/topo"
"@hapi/topo@5.0.0","BSD-3-Clause","https://github.com/hapijs/topo"
"@jest/console@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/core@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/environment@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/fake-timers@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/reporters@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/source-map@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/test-result@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/test-sequencer@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/transform@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/types@24.9.0","MIT","https://github.com/facebook/jest"
"@jest/types@25.4.0","MIT","https://github.com/facebook/jest"
"@mrmlnc/readdir-enhanced@2.2.1","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"@nodelib/fs.scandir@2.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@1.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.stat@2.0.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.4","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@popperjs/core@2.3.3","MIT","https://github.com/popperjs/popper-core"
"@quickbaseoss/babel-plugin-styled-components-css-namespace@1.0.0-rc4","MIT","https://github.com/QuickBase/babel-plugin-styled-components-css-namespace"
"@reclaim-ai/react-intercom-hook@2.0.5","MIT","https://github.com/reclaim-ai/react-intercom-hook"
"@restart/context@2.1.4","MIT","https://github.com/react-restart/context"
"@restart/hooks@0.3.22","MIT","https://github.com/jquense/react-common-hooks"
"@rollup/plugin-node-resolve@7.1.3","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-replace@2.3.3","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils@3.1.0","MIT","https://github.com/rollup/plugins"
"@samverschueren/stream-to-observable@0.3.0","MIT","https://github.com/SamVerschueren/stream-to-observable"
"@segment/loosely-validate-event@2.0.0","MIT*",""
"@sheerun/mutationobserver-shim@0.3.3","MIT","github.com/megawac/MutationObserver.js"
"@stylelint/postcss-css-in-js@0.37.1","MIT","https://github.com/stylelint/postcss-css-in-js"
"@stylelint/postcss-markdown@0.36.1","MIT","https://github.com/stylelint/postcss-markdown"
"@surma/rollup-plugin-off-main-thread@1.4.1","Apache-2.0","https://github.com/surma/rollup-plugin-off-main-thread"
"@svgr/babel-plugin-add-jsx-attribute@4.2.0","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-add-jsx-attribute"
"@svgr/babel-plugin-remove-jsx-attribute@4.2.0","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-remove-jsx-attribute"
"@svgr/babel-plugin-remove-jsx-empty-expression@4.2.0","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-remove-jsx-empty-expression"
"@svgr/babel-plugin-replace-jsx-attribute-value@4.2.0","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-replace-jsx-attribute-value"
"@svgr/babel-plugin-svg-dynamic-title@4.3.3","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-svg-dynamic-title"
"@svgr/babel-plugin-svg-em-dimensions@4.2.0","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-svg-em-dimensions"
"@svgr/babel-plugin-transform-react-native-svg@4.2.0","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-transform-react-native-svg"
"@svgr/babel-plugin-transform-svg-component@4.2.0","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-transform-svg-component"
"@svgr/babel-preset@4.3.3","MIT","https://github.com/smooth-code/svgr/tree/master/packages/babel-preset"
"@svgr/core@4.3.3","MIT","https://github.com/smooth-code/svgr/tree/master/packages/core"
"@svgr/hast-util-to-babel-ast@4.3.2","MIT","https://github.com/smooth-code/svgr/tree/master/packages/hast-util-to-babel-ast"
